CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34007,EN,0012,07,Texts and Contexts II,3 MR,1230-0145pm,Madden C,
34008,EN,0012,08,Texts and Contexts II,3 MR,0330-0445pm,Burlinson J,
34009,EN,0012,09,Texts and Contexts II,3 MW,0500-0615pm,White M,
34010,EN,0012,10,Texts and Contexts II,3 MR,0930-1045am,Cordell M,
34011,EN,0012,11,Texts and Contexts II,3 MR,0330-0445pm,STAFF,
34012,EN,0012,12,Texts and Contexts II,3 TF,0330-0445pm,Linder M,
34013,EN,0012,13,Texts and Contexts II,3 MR,0800-0915am,Cordell M,
34014,EN,0012,14,Texts and Contexts II,3 MR,0930-1045am,Bodach J,
34016,EN,0012,15,Texts and Contexts II,3 TF,0330-0445pm,DeStefano M,
34017,EN,0012,16,Texts and Contexts II,3 TF,0930-1045am,Jourdan S,
34018,EN,0012,17,Texts and Contexts II,3 TF,1100-1215pm,Hoover B,
34019,EN,0012,18,Texts and Contexts II,3 TF,1100-1215pm,Moliterno F,
34020,EN,0012,19,Texts and Contexts II,3 MR,0200-0315pm,Hosten C,
34021,EN,0012,20,Texts and Contexts II,3 MR,1100-1215pm,Spinale K,
34022,EN,0012,21,Texts and Contexts II,3 MW,0500-0615pm,Louis L,
34023,EN,0012,22,Texts and Contexts II,3 MR,0330-0445pm,White M,
34027,EN,0012,23,Texts and Contexts II,3 TR,0500-0615pm,Legere D,
34064,EN,0012,24,Texts and Contexts II,3 MR,1100-1215pm,Bodach J,SERL
34065,EN,0012,25,Texts and Contexts II,3 TF,0200-0315pm,Marciano L,
34071,EN,0012,26,Texts and Contexts II,3 TF,0330-0445pm,Marciano L,
34072,EN,0012,27,Texts and Contexts II,3 MR,1230-0145pm,STAFF,
34080,EN,0012,28,Texts and Contexts II,3 TF,1230-0145pm,Ferrara L,
34095,EN,0012,29,Texts and Contexts II,3 TF,0800-0915am,Spinale K,
34100,EN,0012,30,Texts and Contexts II,3 TF,0200-0315pm,STAFF,
34101,EN,0012,31,Texts and Contexts II,3 TF,1230-0145pm,Hilts E,UDIV
34102,EN,0012,32,Texts and Contexts II,3 MR,0200-0315pm,Scruton J,
34103,EN,0012,33,Texts and Contexts II,3 TF,0200-0315pm,Otfinoski S,
34104,EN,0012,34,Texts and Contexts II,3 TF,0200-0315pm,STAFF,
34105,EN,0012,35,Texts and Contexts II,3 TF,1230-0145pm,Otfinoski S,
34136,EN,0012,36,Texts and Contexts II,3 MR,1230-0145pm,Gunter K,
34188,EN,0012,37,Texts and Contexts II,3,TR 0630-0745pm,,Legere D,
34192,EN,0012,38,Texts and Contexts II,3,TF 1230-0145pm,,Veilleux K,
